     N     Average Time
     5      1.13333e-07
    10      2.66667e-07
    25      3.36667e-07
    50      2.53333e-07
   100      3.73333e-07
   250      5.13333e-07
   500      7.03333e-07
  1000         1.37e-06
  2500          2.5e-06
  5000         4.69e-06
 10000      1.15933e-05
 25000      3.36133e-05
 50000      6.85133e-05
100000      0.000140027
